2026-07-25 11:46:11 | INFO     | modules.splitter | split_documents: 1 docs -> 1 chunks
2026-07-25 11:46:11 | INFO     | modules.vectordb | add_documents: nothing new to add (all chunks already indexed)
2026-07-25 11:46:38 | INFO     | modules.rag_chain | [ca62e821-26ac-4d49-9a6e-faecb60288c8] Question detected as 'en': WHY BE A PART OF OLYMPIC FAMILY?
2026-07-25 11:46:38 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-25 11:47:35 | WARNING  | modules.website_loader | No readable text extracted from 'https://olympicbd.com/investors/bsec-dse-cse'
2026-07-25 11:48:10 | INFO     | modules.rag_chain | [ca62e821-26ac-4d49-9a6e-faecb60288c8] Question detected as 'en': Olympic Industries PLC somporke ki jano?
2026-07-25 11:48:10 | INFO     | modules.retriever | Building retriever: type=mmr, k=5, filter=None
2026-07-25 11:49:11 | INFO     | modules.loaders | Loaded PDF '01_company_profile_demo.pdf' -> 2 page(s)
2026-07-25 11:49:11 | INFO     | modules.loaders | Loaded PDF '02_employee_handbook_demo.pdf' -> 2 page(s)
2026-07-25 11:49:11 | INFO     | modules.loaders | Loaded PDF '03_hr_policy_manual_demo.pdf' -> 1 page(s)
2026-07-25 11:49:11 | INFO     | modules.loaders | Loaded PDF '04_leave_policy_demo.pdf' -> 1 page(s)
2026-07-25 11:49:15 | INFO     | modules.loaders | Loaded PDF 'ML_Interview_Questions_Answers_Bilingual.pdf' -> 32 page(s)
2026-07-25 11:49:16 | INFO     | modules.loaders | Loaded PDF 'Nakib Islam.pdf' -> 2 page(s)
2026-07-25 11:49:16 | INFO     | modules.loaders | Loaded PDF 'Olympic_Enterprise_RAG_Demo_Documents.pdf' -> 2 page(s)
2026-07-25 11:49:17 | INFO     | modules.loaders | Loaded PDF 'Olympic_Industries_Sample_Policy_Dataset.pdf' -> 48 page(s)
2026-07-25 11:49:17 | INFO     | modules.loaders | Loaded DOCX 'Olympic_Industries_PLC_Professional_Report.docx'
2026-07-25 11:49:17 | INFO     | modules.loaders | load_directory: loaded 91 document chunks total from D:\AI-Inceptionbd(25 october 2025)\Universal-RAG\data
2026-07-25 11:49:17 | INFO     | modules.splitter | split_documents: 91 docs -> 252 chunks
2026-07-25 11:49:17 | INFO     | modules.vectordb | add_documents: nothing new to add (all chunks already indexed)
2026-07-25 11:49:31 | INFO     | modules.loaders | Loaded PDF '01_company_profile_demo.pdf' -> 2 page(s)
2026-07-25 11:49:31 | INFO     | modules.loaders | Loaded PDF '02_employee_handbook_demo.pdf' -> 2 page(s)
2026-07-25 11:49:31 | INFO     | modules.loaders | Loaded PDF '03_hr_policy_manual_demo.pdf' -> 1 page(s)
2026-07-25 11:49:31 | INFO     | modules.loaders | Loaded PDF '04_leave_policy_demo.pdf' -> 1 page(s)
2026-07-25 11:49:35 | INFO     | modules.loaders | Loaded PDF 'ML_Interview_Questions_Answers_Bilingual.pdf' -> 32 page(s)
2026-07-25 11:49:36 | INFO     | modules.loaders | Loaded PDF 'Nakib Islam.pdf' -> 2 page(s)
2026-07-25 11:49:36 | INFO     | modules.loaders | Loaded PDF 'Olympic_Enterprise_RAG_Demo_Documents.pdf' -> 2 page(s)
2026-07-25 11:49:36 | INFO     | modules.loaders | Loaded PDF 'Olympic_Industries_Sample_Policy_Dataset.pdf' -> 48 page(s)
2026-07-25 11:49:36 | INFO     | modules.loaders | Loaded DOCX 'Olympic_Industries_PLC_Professional_Report.docx'
2026-07-25 11:49:36 | INFO     | modules.loaders | load_directory: loaded 91 document chunks total from D:\AI-Inceptionbd(25 october 2025)\Universal-RAG\data
2026-07-25 11:49:36 | INFO     | modules.splitter | split_documents: 91 docs -> 252 chunks
2026-07-25 11:49:36 | INFO     | modules.vectordb | add_documents: nothing new to add (all chunks already indexed)
